Gender?,location,sscgpa,hscgpa,ictinterest,ictresult,internetbrowse,matholimpyad,onlinecourse,cpro,onlineresource,patience,pcconfig,gamer,selfstudy,ict,knowledgebefore,proskill,mathSSC,mathHSC,patiencerating,selfrating,CGPA
Male,Chittagong,5,5,Interesting,Good,Online Study and Social Media,More than once,Many,7 to 8,Strongly Agree,Strongly Agree,Agree,Neutral,Strongly Disagree,Neutral,Good,7 to 8,Good,Good,7 to 8,9 to 10,3.75
Female,Other Divisional City,5,5,Interesting,Good,Online Study and Social Media,More than once,Many,7 to 8,Agree,Agree,Agree,Disagree,Neutral,Neutral,Good,7 to 8,Good,Good,7 to 8,7 to 8,3.75
Female,Chittagong,4.00 and above,3.5 and above,Difficult,Poor,Social media and Entertainment,Never,More than once,3 to 4,Agree,Neutral,Neutral,Neutral,Disagree,Neutral,Less than Satisfactory,3 to 4,Less than satisfactory,Less than satisfactory,5 to 6,3 to 4,2.9
Female,Dhaka,5,5,Very Interesting,Very good,Online Study and Social Media,Many,Many,9 to 10,Strongly Agree,Agree,Neutral,Neutral,Neutral,Neutral,Good,7 to 8,Good,Very Good,7 to 8,9 to 10,3.9
Female,Other Divisional City,5,4.50 and above,Interesting,Good,Online Study and Social Media,More than once,Many,7 to 8,Agree,Agree,Neutral,Neutral,Disagree,Neutral,Satisfactory,7 to 8,Good,Satisfactory,7 to 8,7 to 8,3.6
Female,Chittagong,5,5,Very Interesting,Very good,Online Study and Social Media,Many,Many,9 to 10,Strongly Agree,Agree,Agree,Neutral,Neutral,Agree,Good,9 to 10,Very Good,Very Good,7 to 8,9 to 10,3.9
Female,Chittagong,5,4.50 and above,Interesting,Good,Online Study and Social Media,Less than 5,Many,7 to 8,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Good,7 to 8,Good,Good,7 to 8,7 to 8,3.6
Female,Dhaka,4.50 and above,5,Interesting,Good,Online Study and Social Media,Less than 5,Many,9 to 10,Agree,Agree,Agree,Neutral,Neutral,Neutral,Good,7 to 8,Satisfactory,Good,7 to 8,9 to 10,3.6
Male,Chittagong,4.50 and above,4.50 and above,Interesting,Satisfactory,Online Study and Social Media,Once,Many,5 to 6,Agree,Agree,Disagree,Disagree,Neutral,Neutral,Satisfactory,5 to 6,Satisfactory,Satisfactory,5 to 6,5 to 6,3.45
Male,Chittagong,4.50 and above,4.00 and above,Interesting,Satisfactory,Online Study and Social Media,Never,Many,5 to 6,Agree,Agree,Neutral,Neutral,Disagree,Neutral,Satisfactory,5 to 6,Satisfactory,Satisfactory,5 to 6,3 to 4,3.2
Male,Dhaka,5,5,Very Interesting,Very good,Online Study and Social Media,Many,Many,9 to 10,Strongly Agree,Agree,Agree,Neutral,Neutral,Agree,Good,9 to 10,Very Good,Very Good,9 to 10,9 to 10,3.8
Male,Chittagong,5,4.50 and above,Neutral,Satisfactory,Online Study and Social Media,Once,Many,5 to 6,Agree,Neutral,Neutral,Neutral,Disagree,Neutral,Satisfactory,5 to 6,Satisfactory,Satisfactory,5 to 6,5 to 6,3.3
Male,Chittagong,4.00 and above,4.00 and above,Difficult,Satisfactory,Online Study and Social Media,Never,Many,5 to 6,Agree,Neutral,Neutral,Neutral,Disagree,Neutral,Satisfactory,5 to 6,Satisfactory,Satisfactory,7 to 8,5 to 6,3.2
Female,Dhaka,4.50 and above,4.50 and above,Neutral,Satisfactory,Online Study and Social Media,Never,Many,5 to 6,Agree,Neutral,Neutral,Disagree,Disagree,Neutral,Satisfactory,5 to 6,Satisfactory,Satisfactory,7 to 8,5 to 6,3.4
Female,Chittagong,4.50 and above,4.50 and above,Interesting,Good,Online Study and Social Media,Never,Many,5 to 6,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Satisfactory,5 to 6,Satisfactory,Satisfactory,5 to 6,5 to 6,3.4
Female,Chittagong,3.50 and above,3.5 and above,Difficult,Less than satisfactory,Online Study and Social Media,Never,Many,3 to 4,Agree,Neutral,Disagree,Disagree,Disagree,Neutral,Less than Satisfactory,3 to 4,Satisfactory,Less than satisfactory,5 to 6,5 to 6,2.8
Female,Chittagong,3.50 and above,3.5 and above,Difficult,Poor,Social media and Entertainment,Never,More than once,1 to 2,Neutral,Disagree,Neutral,Neutral,Disagree,Neutral,Less than Satisfactory,3 to 4,Satisfactory,Less than satisfactory,5 to 6,3 to 4,2.95
Female,Chittagong,4.00 and above,4.00 and above,Neutral,Satisfactory,Online Study and Social Media,Never,Less than 5,5 to 6,Agree,Neutral,Neutral,Disagree,Disagree,Neutral,Less than Satisfactory,3 to 4,Satisfactory,Satisfactory,5 to 6,5 to 6,3
Female,Chittagong,4.00 and above,4.00 and above,Neutral,Satisfactory,Online Study and Social Media,Never,Less than 5,3 to 4,Agree,Agree,Agree,Neutral,Disagree,Neutral,Satisfactory,5 to 6,Satisfactory,Satisfactory,5 to 6,3 to 4,3.1
Female,Chittagong,4.50 and above,4.50 and above,Interesting,Satisfactory,Online Study and Social Media,Never,Less than 5,5 to 6,Agree,Agree,Neutral,Disagree,Disagree,Agree,Satisfactory,5 to 6,Satisfactory,Satisfactory,5 to 6,5 to 6,3.55
Female,Other Divisional City,4.50 and above,4.50 and above,Interesting,Good,Online Study and Social Media,Never,Never,5 to 6,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Satisfactory,3 to 4,Satisfactory,Satisfactory,3 to 4,7 to 8,3.34
Male,Chittagong,5,4.50 and above,Very Interesting,Very good,Online Course and Reading Blogs,Less than 5,More than once,7 to 8,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Good,7 to 8,Very Good,Very Good,7 to 8,7 to 8,3.54
Male,Other Divisional City,5,4.00 and above,Interesting,Good,Online Study and Social Media,Once,More than once,5 to 6,Agree,Agree,Agree,Agree,Agree,Agree,Good,5 to 6,Very Good,Good,7 to 8,7 to 8,3.39
Male,Chittagong,4.50 and above,4.00 and above,Interesting,Good,Social media and Entertainment,Once,Once,3 to 4,Agree,Agree,Agree,Agree,Neutral,Neutral,Satisfactory,3 to 4,Very Good,Very Good,5 to 6,5 to 6,3
Male,Chittagong,3.50 and above,3.5 and above,Neutral,Satisfactory,Social media and Entertainment,Never,Never,3 to 4,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Less than Satisfactory,1 to 2,Good,Satisfactory,3 to 4,5 to 6,2.74
Female,Chittagong,3.50 and above,Less than 3.5,Difficult,Less than satisfactory,Social media and Entertainment,Never,Never,1 to 2,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Poor,1 to 2,Satisfactory,Less than satisfactory,1 to 2,1 to 2,2.32
Male,Chittagong,4.00 and above,3.5 and above,Interesting,Satisfactory,Online Study and Social Media,Never,Never,3 to 4,Agree,Agree,Agree,Agree,Agree,Agree,Less than Satisfactory,5 to 6,Good,Satisfactory,3 to 4,3 to 4,2.83
Female,Chittagong,5,4.50 and above,Very Interesting,Very good,Online Course and Reading Blogs,More than once,More than once,5 to 6,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Good,5 to 6,Very Good,Very Good,7 to 8,7 to 8,3.76
Male,Chittagong,Less than 3.50,Less than 3.5,Difficult,Less than satisfactory,Social media and Entertainment,Never,Never,1 to 2,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Poor,1 to 2,Less than satisfactory,Less than satisfactory,1 to 2,1 to 2,2.25
Female,Other Divisional City,4.50 and above,4.50 and above,Interesting,Very good,Online Study and Social Media,More than once,More than once,5 to 6,Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Good,5 to 6,Very Good,Good,5 to 6,7 to 8,3
Female,Chittagong,4.50 and above,3.5 and above,Difficult,Satisfactory,Social media and Entertainment,Never,Never,3 to 4,Agree,Agree,Neutral,Disagree,Neutral,Neutral,Less than Satisfactory,1 to 2,Good,Satisfactory,1 to 2,3 to 4,2.33
Male,Chittagong,4.50 and above,3.5 and above,Neutral,Good,Social media and Entertainment,Once,Never,1 to 2,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Less than Satisfactory,1 to 2,Very Good,Good,1 to 2,3 to 4,2.59
Male,Chittagong,5,5,Very Interesting,Very good,Online Course and Reading Blogs,Many,Many,7 to 8,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Very Good,9 to 10,Very Good,Very Good,7 to 8,9 to 10,3.67
Male,Chittagong,5,4.50 and above,Interesting,Very good,Online Study and Social Media,More than once,More than once,5 to 6,Strongly Agree,Agree,Strongly Agree,Neutral,Agree,Agree,Good,5 to 6,Very Good,Very Good,7 to 8,7 to 8,3.12
Female,Chittagong,4.50 and above,4.50 and above,Interesting,Good,Online Study and Social Media,Once,Once,3 to 4,Agree,Agree,Agree,Neutral,Agree,Agree,Good,5 to 6,Very Good,Good,5 to 6,7 to 8,3.2
Male,Chittagong,4.50 and above,4.00 and above,Interesting,Good,Social media and Entertainment,Never,Never,1 to 2,Agree,Neutral,Neutral,Disagree,Neutral,Neutral,Less than Satisfactory,3 to 4,Good,Good,5 to 6,5 to 6,2.89
Male,Chittagong,5,4.50 and above,Interesting,Good,Online Study and Social Media,More than once,More than once,3 to 4,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Good,5 to 6,Very Good,Very Good,7 to 8,7 to 8,3.35
Male,Chittagong,5,4.50 and above,Very Interesting,Very good,Online Course and Reading Blogs,Less than 5,Less than 5,5 to 6,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Good,5 to 6,Very Good,Very Good,9 to 10,9 to 10,3.65
Female,Chittagong,4.00 and above,3.5 and above,Difficult,Satisfactory,Social media and Entertainment,Never,Never,1 to 2,Agree,Agree,Neutral,Disagree,Agree,Neutral,Poor,1 to 2,Satisfactory,Less than satisfactory,1 to 2,1 to 2,3.33
Male,Chittagong,5,4.50 and above,Very Interesting,Very good,Online Course and Reading Blogs,Many,Many,9 to 10,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Very Good,9 to 10,Very Good,Very Good,9 to 10,9 to 10,3.78
Male,Chittagong,3.50 and above,Less than 3.5,Difficult,Less than satisfactory,Social media and Entertainment,Never,Never,1 to 2,Neutral,Neutral,Agree,Disagree,Neutral,Neutral,Poor,1 to 2,Less than satisfactory,Less than satisfactory,1 to 2,1 to 2,2.25
Male,Chittagong,5,5,Very Interesting,Very good,Online Course and Reading Blogs,Many,Many,7 to 8,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Very Good,9 to 10,Very Good,Very Good,9 to 10,9 to 10,3.63
Male,Other Divisional City,4.50 and above,4.50 and above,Interesting,Very good,Online Course and Reading Blogs,Less than 5,Less than 5,5 to 6,Agree,Agree,Agree,Disagree,Agree,Agree,Good,7 to 8,Very Good,Very Good,5 to 6,5 to 6,3.25
Male,Chittagong,4.50 and above,4.00 and above,Difficult,Satisfactory,Online Study and Social Media,Never,Once,3 to 4,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Satisfactory,5 to 6,Satisfactory,Satisfactory,5 to 6,5 to 6,2.75
Male,Other Divisional City,4.00 and above,4.00 and above,Neutral,Good,Online Study and Social Media,More than once,More than once,5 to 6,Neutral,Neutral,Agree,Disagree,Neutral,Neutral,Less than Satisfactory,5 to 6,Good,Good,5 to 6,5 to 6,2.88
Male,Other Divisional City,4.50 and above,4.00 and above,Interesting,Very good,Online Study and Social Media,Once,More than once,3 to 4,Agree,Strongly Agree,Neutral,Disagree,Agree,Agree,Satisfactory,3 to 4,Very Good,Good,5 to 6,5 to 6,3
Female,Rural Area,4.50 and above,3.5 and above,Difficult,Satisfactory,Social media and Entertainment,Never,Never,1 to 2,Agree,Agree,Agree,Disagree,Agree,Agree,Very Good,1 to 2,Good,Less than satisfactory,3 to 4,3 to 4,2.75
Male,Chittagong,4.50 and above,4.50 and above,Interesting,Good,Online Study and Social Media,More than once,5 to 6,Once,Agree,Agree,Agree,Agree,Agree,Agree,Good,5 to 6,Good,Satisfactory,3 to 4,3 to 4,2.89
Male,Chittagong,4.00 and above,4.00 and above,Interesting,Good,Social media and Entertainment,Once,3 to 4,Once,Agree,Agree,Agree,Agree,Agree,Agree,Good,3 to 4,Satisfactory,Good,3 to 4,3 to 4,2.88
Male,Chittagong,4.50 and above,4.00 and above,Interesting,Good,Online Study and Social Media,Once,3 to 4,Once,Agree,Agree,Agree,Agree,Agree,Agree,Good,3 to 4,Good,Good,3 to 4,3 to 4,3
Male,Chittagong,4.00 and above,4.00 and above,Interesting,Good,Social media and Entertainment,Once,3 to 4,Once,Agree,Agree,Agree,Agree,Agree,Agree,Good,3 to 4,Good,Good,3 to 4,3 to 4,3
Male,Chittagong,4.00 and above,4.00 and above,Interesting,Good,Social media and Entertainment,Once,3 to 4,Once,Agree,Agree,Agree,Agree,Agree,Agree,Good,3 to 4,Good,Good,3 to 4,3 to 4,3
Male,Chittagong,5,4.50 and above,Very Interesting,Very good,Online Study and Social Media,Once,3 to 4,More than once,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Good,5 to 6,Very Good,Satisfactory,5 to 6,7 to 8,3.45
Male,Chittagong,4.50 and above,4.00 and above,Interesting,Good,Online Study and Social Media,Once,5 to 6,More than once,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Good,7 to 8,Very Good,Good,7 to 8,7 to 8,3.3
Female,Chittagong,4.00 and above,4.50 and above,Very Interesting,Very good,Online Study and Social Media,More than once,7 to 8,More than once,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Very Good,7 to 8,Very Good,Very Good,7 to 8,7 to 8,3.6
Male,Chittagong,4.50 and above,3.5 and above,Very Interesting,Good,Social media and Entertainment,Once,3 to 4,Once,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Good,7 to 8,Good,Satisfactory,7 to 8,7 to 8,3.5
Female,Chittagong,5,3.5 and above,Very Interesting,Very good,Online Study and Social Media,Once,5 to 6,More than once,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Good,9 to 10,Very Good,Very Good,7 to 8,7 to 8,3.6
Male,Chittagong,4.50 and above,4.00 and above,Interesting,Good,Social media and Entertainment,More than once,7 to 8,Less than 5,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Good,9 to 10,Very Good,Very Good,9 to 10,9 to 10,3.6
Male,Dhaka,4.50 and above,4.50 and above,Interesting,Very good,Online Course and Reading Blogs,Many,9 to 10,Many,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Good,7 to 8,Very Good,Very Good,9 to 10,9 to 10,3.7
Male,Chittagong,4.50 and above,5,Interesting,Good,Online Courses only,Less than 5,7 to 8,More than once,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Good,7 to 8,Good,Good,7 to 8,7 to 8,3.33
Male,Chittagong,4.00 and above,4.00 and above,Interesting,Good,Social media and Entertainment,More than once,3 to 4,Once,Agree,Agree,Agree,Agree,Agree,Agree,Good,3 to 4,Good,Good,3 to 4,3 to 4,2.55
Female,District City,5,4.00 and above,Very Interesting,Very good,Online Study and Social Media,Once,7 to 8,More than once,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Good,7 to 8,Very Good,Satisfactory,7 to 8,9 to 10,3.7
Female,Other Divisional City,3.50 and above,3.5 and above,Very Interesting,Very good,Online Course and Reading Blogs,Many,9 to 10,Many,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Very Good,9 to 10,Very Good,Very Good,7 to 8,7 to 8,3.8
Male,Chittagong,4.50 and above,4.50 and above,Interesting,Good,Social media and Entertainment,Once,3 to 4,Once,Agree,Agree,Agree,Agree,Agree,Agree,Good,3 to 4,Good,Good,3 to 4,3 to 4,3
Male,Chittagong,4.00 and above,4.00 and above,Interesting,Satisfactory,Online Courses only,More than once,7 to 8,More than once,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Good,7 to 8,Very Good,Good,7 to 8,7 to 8,3.39
Male,Chittagong,4.00 and above,4.50 and above,Interesting,Good,Social media and Entertainment,Once,3 to 4,Once,Agree,Agree,Agree,Agree,Agree,Agree,Good,3 to 4,Good,Good,3 to 4,3 to 4,3.9
Male,Chittagong,4.50 and above,4.00 and above,Neutral,Satisfactory,Online Courses only,More than once,7 to 8,Less than 5,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Good,9 to 10,Very Good,Very Good,9 to 10,9 to 10,3.6
Male,Chittagong,4.00 and above,4.50 and above,Interesting,Good,Online Study and Social Media,Once,3 to 4,Once,Agree,Agree,Agree,Agree,Agree,Agree,Good,3 to 4,Good,Satisfactory,3 to 4,5 to 6,3
Male,Chittagong,4.50 and above,4.50 and above,Interesting,Good,Social media and Entertainment,Once,3 to 4,Once,Agree,Agree,Agree,Agree,Agree,Agree,Good,3 to 4,Good,Good,3 to 4,3 to 4,3
Male,Chittagong,4.50 and above,4.00 and above,Interesting,Good,Social media and Entertainment,Once,3 to 4,Once,Agree,Agree,Agree,Agree,Agree,Agree,Good,3 to 4,Satisfactory,Good,3 to 4,3 to 4,3
Male,Chittagong,4.00 and above,4.00 and above,Interesting,Good,Social media and Entertainment,Once,3 to 4,Once,Agree,Agree,Agree,Agree,Agree,Agree,Good,3 to 4,Good,Good,3 to 4,3 to 4,2.67
Male,Chittagong,4.00 and above,4.00 and above,Interesting,Good,Online Study and Social Media,Once,3 to 4,Once,Agree,Agree,Agree,Agree,Agree,Agree,Good,3 to 4,Good,Good,3 to 4,3 to 4,3
Male,Chittagong,4.00 and above,4.00 and above,Interesting,Good,Social media and Entertainment,Once,3 to 4,Once,Agree,Agree,Agree,Agree,Agree,Agree,Good,3 to 4,Good,Good,3 to 4,3 to 4,2.8
Male,Chittagong,4.00 and above,4.00 and above,Interesting,Good,Reading Blogs only,Once,3 to 4,Once,Agree,Agree,Agree,Agree,Agree,Agree,Good,7 to 8,Good,Good,7 to 8,3 to 4,3.33
Male,Chittagong,4.00 and above,4.50 and above,Interesting,Good,Online Study and Social Media,Once,3 to 4,Once,Agree,Agree,Agree,Agree,Agree,Agree,Good,3 to 4,Satisfactory,Good,3 to 4,3 to 4,3
Male,Chittagong,4.00 and above,4.00 and above,Interesting,Good,Social media and Entertainment,Once,3 to 4,Once,Agree,Agree,Agree,Agree,Agree,Agree,Good,3 to 4,Good,Good,3 to 4,3 to 4,2.89
Male,Chittagong,4.50 and above,4.50 and above,Interesting,Good,Social media and Entertainment,Once,3 to 4,Once,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Good,3 to 4,Good,Good,3 to 4,3 to 4,3.2
Female,District City,4.50 and above,4.50 and above,Interesting,Good,Reading Blogs only,More than once,5 to 6,More than once,Agree,Agree,Agree,Agree,Agree,Agree,Very Good,7 to 8,Satisfactory,Satisfactory,5 to 6,7 to 8,3.65
Female,Chittagong,4.50 and above,4.50 and above,Very Interesting,Good,Online Study and Social Media,Less than 5,7 to 8,More than once,Neutral,Strongly Disagree,Agree,Disagree,Neutral,Agree,Good,7 to 8,Good,Good,7 to 8,7 to 8,3.6
Female,Chittagong,5,4.50 and above,Interesting,Good,Online Study and Social Media,Less than 5,7 to 8,Less than 5,Agree,Strongly Agree,Agree,Neutral,Agree,Agree,Satisfactory,7 to 8,Very Good,Good,7 to 8,5 to 6,3.6
Female,Chittagong,5,5,Very Interesting,Very good,Online Course and Reading Blogs,Many,9 to 10,Many,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Good,9 to 10,Very Good,Very Good,9 to 10,7 to 8,3.9
Female,Chittagong,5,4.00 and above,Interesting,Satisfactory,Online Study and Social Media,Less than 5,7 to 8,More than once,Agree,Agree,Agree,Agree,Agree,Agree,Satisfactory,7 to 8,Very Good,Good,7 to 8,7 to 8,3.45
Female,Chittagong,5,5,Very Interesting,Very good,Online Course and Reading Blogs,Many,9 to 10,Many,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Neutral,Good,9 to 10,Very Good,Very Good,9 to 10,9 to 10,3.8
Female,Dhaka,5,4.50 and above,Very Interesting,Good,Online Study and Social Media,Less than 5,7 to 8,Less than 5,Agree,Agree,Agree,Neutral,Agree,Strongly Agree,Good,7 to 8,Very Good,Good,7 to 8,5 to 6,3.65
Female,Chittagong,5,5,Very Interesting,Very good,Online Course and Reading Blogs,More than once,7 to 8,More than once,Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Very Good,7 to 8,Very Good,Very Good,9 to 10,7 to 8,3.7
Female,Chittagong,5,5,Very Interesting,Very good,Online Course and Reading Blogs,Many,9 to 10,Many,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Agree,Good,9 to 10,Very Good,Very Good,9 to 10,9 to 10,3.9
Female,Chittagong,5,5,Very Interesting,Very good,Social media and Entertainment,Never,1 to 2,Once,Strongly Agree,Neutral,Neutral,Neutral,Agree,Strongly Agree,Good,3 to 4,Very Good,Satisfactory,5 to 6,5 to 6,3.6
Female,Chittagong,5,5,Very Interesting,Very good,Online Study and Social Media,Less than 5,9 to 10,Many,Strongly Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Good,9 to 10,Very Good,Very Good,7 to 8,9 to 10,3.9
Male,Dhaka,5,5,Very Interesting,Very good,Online Study and Social Media,Once,1 to 2,Never,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Good,9 to 10,Very Good,Very Good,3 to 4,5 to 6,3.8
Male,District City,4.50 and above,4.50 and above,Very Interesting,Very good,Online Study and Social Media,Less than 5,7 to 8,Less than 5,Neutral,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Very Good,5 to 6,Satisfactory,Very Good,9 to 10,9 to 10,3.9
Male,Chittagong,5,4.50 and above,Very Interesting,Very good,Online Study and Social Media,Less than 5,9 to 10,Many,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Very Good,9 to 10,Very Good,Very Good,9 to 10,7 to 8,3.75
Male,Chittagong,4.50 and above,4.00 and above,Interesting,Good,Social media and Entertainment,Once,5 to 6,Once,Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Very Good,5 to 6,Good,Good,7 to 8,7 to 8,3.34
Male,Chittagong,5,4.50 and above,Interesting,Good,Online Study and Social Media,Less than 5,7 to 8,Less than 5,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Good,7 to 8,Very Good,Good,7 to 8,7 to 8,3.65
Female,Other Divisional City,4.00 and above,4.00 and above,Very Interesting,Very good,Social media and Entertainment,More than once,3 to 4,Never,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Good,7 to 8,Good,Good,5 to 6,7 to 8,3.5
Male,Chittagong,5,5,Very Interesting,Very good,Online Study and Social Media,Less than 5,7 to 8,Many,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Good,9 to 10,Very Good,Very Good,7 to 8,7 to 8,3.8
Male,Chittagong,4.50 and above,4.50 and above,Interesting,Good,Online Study and Social Media,More than once,5 to 6,More than once,Neutral,Agree,Neutral,Agree,Strongly Agree,Agree,Good,7 to 8,Very Good,Good,7 to 8,7 to 8,3.5
Male,Chittagong,5,5,Very Interesting,Very good,Online Study and Social Media,Many,9 to 10,Many,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Very Good,7 to 8,Very Good,Very Good,9 to 10,9 to 10,3.8
Male,Chittagong,5,4.50 and above,Interesting,Very good,Online Study and Social Media,Less than 5,9 to 10,Many,Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Agree,Very Good,9 to 10,Very Good,Very Good,7 to 8,9 to 10,3.6
Male,Chittagong,5,5,Interesting,Very good,Online Study and Social Media,Less than 5,7 to 8,Many,Strongly Agree,Agree,Agree,Neutral,Agree,Strongly Agree,Good,7 to 8,Very Good,Very Good,7 to 8,7 to 8,3.7
Male,Chittagong,5,4.50 and above,Interesting,Very good,Online Study and Social Media,More than once,7 to 8,Less than 5,Agree,Strongly Agree,Neutral,Neutral,Agree,Strongly Agree,Very Good,7 to 8,Very Good,Good,5 to 6,7 to 8,3.6
Male,Chittagong,5,4.50 and above,Very Interesting,Very good,Online Study and Social Media,Many,7 to 8,Less than 5,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Very Good,7 to 8,Very Good,Good,9 to 10,7 to 8,3.6
Male,Chittagong,5,4.50 and above,Interesting,Good,Online Study and Social Media,Less than 5,5 to 6,Less than 5,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Good,5 to 6,Very Good,Good,7 to 8,7 to 8,3.5
Male,Chittagong,4.50 and above,4.50 and above,Interesting,Good,Online Study and Social Media,Never,3 to 4,Once,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Satisfactory,5 to 6,Good,Satisfactory,5 to 6,7 to 8,3.5
Male,Chittagong,5,5,Very Interesting,Very good,Online Study and Social Media,Less than 5,9 to 10,Less than 5,Agree,Agree,Agree,Agree,Strongly Agree,Neutral,Good,9 to 10,Very Good,Very Good,9 to 10,7 to 8,3.9
Female,Chittagong,5,5,Very Interesting,Very good,Online Study and Social Media,Less than 5,7 to 8,Less than 5,Agree,Agree,Agree,Neutral,Neutral,Neutral,Good,9 to 10,Very Good,Very Good,7 to 8,9 to 10,3.9
Female,Chittagong,5,5,Very Interesting,Good,Online Study and Social Media,Many,9 to 10,Less than 5,Agree,Strongly Agree,Agree,Agree,Neutral,Neutral,Good,9 to 10,Very Good,Very Good,9 to 10,9 to 10,3.9
Male,Dhaka,5,5,Very Interesting,Very good,Online Courses only,Many,9 to 10,Many,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Satisfactory,7 to 8,Very Good,Very Good,9 to 10,7 to 8,3.8
Female,Chittagong,5,5,Very Interesting,Very good,Online Study and Social Media,Less than 5,7 to 8,Many,Strongly Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Agree,Good,9 to 10,Very Good,Very Good,7 to 8,9 to 10,3.9
Male,Chittagong,5,5,Very Interesting,Very good,Online Study and Social Media,Less than 5,9 to 10,Many,Strongly Agree,Agree,Agree,Neutral,Agree,Strongly Agree,Very Good,7 to 8,Very Good,Very Good,9 to 10,9 to 10,3.9
Female,Chittagong,5,5,Very Interesting,Very good,Online Study and Social Media,Many,7 to 8,Less than 5,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Good,7 to 8,Very Good,Very Good,7 to 8,9 to 10,3.8
Female,Chittagong,5,5,Very Interesting,Very good,Online Courses only,Many,7 to 8,Many,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Good,7 to 8,Very Good,Very Good,9 to 10,9 to 10,3.9
Male,Chittagong,5,5,Very Interesting,Good,Online Study and Social Media,Less than 5,7 to 8,Less than 5,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Good,7 to 8,Very Good,Very Good,9 to 10,7 to 8,3.9
Female,Chittagong,5,5,Interesting,Good,Online Study and Social Media,Less than 5,7 to 8,More than once,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Very Good,9 to 10,Good,Satisfactory,9 to 10,7 to 8,3.9
Male,Chittagong,5,5,Very Interesting,Very good,Online Study and Social Media,Less than 5,9 to 10,Less than 5,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Good,9 to 10,Very Good,Very Good,7 to 8,9 to 10,3.9
